CUSTOMER_ID,AGE,COUNTRY,RECORD_SOURCE,LOAD_DATETIME
C1,7,UK,CUSTOMERS_V1,2021-10-16 14:38:02.229 +0100
C1,7,UK,CUSTOMERS_V1,2021-10-17 14:38:02.229 +0100
C1,7,UK,CUSTOMERS_V1,2021-10-16 14:38:02.229 +0100
C1,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C2,4,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C3,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C4,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C5,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C6,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C7,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C8,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C9,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C10,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C11,4,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C12,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C13,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C14,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C15,6,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C16,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C17,2,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C18,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C19,6,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C20,2,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C21,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C22,1,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C23,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C24,6,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C25,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C26,1,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C27,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C28,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C29,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C30,4,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C31,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C32,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C33,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C34,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C35,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C36,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C37,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C38,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C39,2,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C40,4,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C41,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C42,2,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C43,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C44,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C45,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C46,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C47,2,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C48,4,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C49,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C50,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C51,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C52,1,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
